label,X1528CSW2.1.1,X1528CSW2.1.2,X1528CSW2.1.3,X1528CSW2.1.4,X1528CSW2.2.1,X1528CSW2.2.2,X1528CSW2.2.3,X1528CSW2.2.4,X1528CSW2.3.3,X2710SW2.1.1
d5c6e440c4f98476ed97f1027d4656db,0,0,0,0,0,0,0,0,0,0
4f944d7661d272b27c6acdeb2f3607a6,0,0,0,0,0,0,0,0,0,0
24c7494298aeea4888a10cdea8a52195,0,0,0.13667992,0.233029382,0,0,0,0,0,0
dfc29257ce1242733cbc84f7cbcc8ca1,0,0,0,0,0,0,0,0,0,0
678304235a4e61a90d8e277cfb7db8b4,0,0,0,0,0,0,0,0,0,0
d1b118fa843768419c957ce19a6ffac0,0,0,0,0,0,0,0,0,0,0
feb05459830a218fa7c4b4bb9fd5af8b,0,0,0,0,0,0,0,0.353613202,0,0
a638dfe0067559e0ba8d5b76a2e43e54,0,0,0,0,0,0,0,0,0,0
04dc969a576e56c7d54d971f91ac6971,0,0,0,0,0,0,0,0,0,0
83b0e8529353c08fef6549c6d7ddd442,0,0,0,0,0,0,0,0,0,0
fc86fc2553b373731e6746414ee751db,0,0,0,0,0,0,0,0,0,0
18b03aa61ba2b4bd5dfde445fb47f1a6,0,0,0,0,0,0,0,0,0,0
93466a9c1f7cca36df4d134fe0b106ad,0,0,0,0,0,0,0,0,0,0
8798270c9bf0ac0a6c2484473a51d496,0,0,0,0,0,0,0,0,0,0
f0bde4ef0c345d3c9c970ffda1694e78,0,0,0,0,0,0,0,0,0,0
7307a6eee03532f3d510f0d698ecafaa,0,0,0,0,0,0,0,0,0,0
b8fbcd071734e79a653e1f0bec3c5a75,0,0,0,0,0,0,0,0,0,0
987c979513b35bd0f8dd78264fdd7867,0,0,0,0,0,0,0,0,0,0
badba36b2fc31c8c7ec54364cbf9c3c1,0,0,0,0,0,0,0,0,0,0
2b1359521594eeb1d89da83292a5260c,0,0,0,0,0,0,0,0,0,0
ea88b3ab144fc97510928dd0c64dfc40,0,0,0,0,0,0,0,0,0,0
47e21255026d05b3a156f4c7256e9cb4,0,0,0,0,0,0,0,0,0,0
1acf0649a7eb592491b1b9a1753ac4cf,0,0,0,0,0,0,0,0,0,0
b0e2e069abb38224523d02c746de24fb,0,0,0,0,0,0,0,0,0,0
3b3a03ab9f1cdcb9dffe02a4423ded57,0,0,0,0,0,0,0,0,0,0
79e9c64cd578f452b749e2ab50cbfa3b,0,0,0,0,0,0,0,0,0,0
bf3affa562b9a089f657608ff610fe96,0,0,0,0,0,0,0,0,0,0
